port_name,original_count,normalized_count,cleaned_count,total_occurrences,first_appears,notes
Hull,0,2526,2547,2547,"normalized, cleaned",consolidated to parent city
IMPORTS,3,3,0,3,original,removed as artifact
INVERKEITHING,32,32,32,32,original,
INVERNESS,41,0,0,41,original,removed as artifact
IPSWICH,39,0,0,39,original,removed as artifact
Idefjord,0,1,1,1,normalized,consolidated to parent city
Inverness,0,41,41,41,normalized,consolidated to parent city
Ipswich,0,39,39,39,normalized,consolidated to parent city
JOSEPH GARDNER & SONS,2,2,2,2,original,
KATHARINE'S DOCK,1,1,1,1,original,
KING'S LYNN,52,52,52,52,original,
KIRKCALDY,93,0,0,93,original,removed as artifact
KIRKWALL,16,16,16,16,original,
Kirkcaldy,0,93,93,93,normalized,consolidated to parent city
LANCASTER,26,0,0,26,original,removed as artifact
LEITH,948,0,0,948,original,removed as artifact
LERWICK,25,0,0,25,original,removed as artifact
LIMERICK,41,41,41,41,original,
LIQUIDATIONS,11,11,0,11,original,removed as artifact
