original_port,ship_count,category_hint,action,map_to_port,notes
"driving streams upon which this market depends are still very discouraging as to the probabilities of getting the logs. The prospects of the Menominee and other streams tributary to Green Bay, are really not so encouraging as a few weeks ago, as logs on the first",1,ambiguous_low_freq,,,
Satilla,1,ambiguous_low_freq,,,
Bisor,1,ambiguous_low_freq,,,
Tiansand,1,ambiguous_low_freq,,,
Milsemvig,1,ambiguous_low_freq,,,
Sandiefurd,1,ambiguous_low_freq,,,
Luhe,1,ambiguous_low_freq,,,
Uddowalla,1,ambiguous_low_freq,,,
Table Bay,1,ambiguous_low_freq,,,
Attona,1,ambiguous_low_freq,,,
Velsen,1,ambiguous_low_freq,,,
Aleyn,1,ambiguous_low_freq,,,
Halix,1,ambiguous_low_freq,,,
Borde,1,ambiguous_low_freq,,,
Gothenburg and Cronstadt,1,ambiguous_low_freq,,,
Bordeaux via London,1,ambiguous_low_freq,,,
Flekkifiord,1,ambiguous_low_freq,,,
pitwood,1,ambiguous_low_freq,,,
You-ford,1,ambiguous_low_freq,,,
Bidon,1,ambiguous_low_freq,,,
timber,1,ambiguous_low_freq,,,
Toreforg,1,ambiguous_low_freq,,,
oak staves,1,ambiguous_low_freq,,,
Parrshow,1,ambiguous_low_freq,,,
Sauris,1,ambiguous_low_freq,,,
Bawik,1,ambiguous_low_freq,,,
Bordeaux vid London,1,ambiguous_low_freq,,,
Caneron,1,ambiguous_low_freq,,,
Bayvert,1,ambiguous_low_freq,,,
Salvesen & Co,1,ambiguous_low_freq,,,
Ornskoldsvit,1,ambiguous_low_freq,,,
Hansta,1,ambiguous_low_freq,,,
Bideford,1,ambiguous_low_freq,,,
Brest pitwood,1,ambiguous_low_freq,,,
Bath,1,ambiguous_low_freq,,,
Calileo,1,ambiguous_low_freq,,,
Saffi,1,ambiguous_low_freq,,,
Three Sisters,1,ambiguous_low_freq,,,
Balnarte,1,ambiguous_low_freq,,,
Port Cortes,1,ambiguous_low_freq,,,
Bassein,1,ambiguous_low_freq,,,
Hudicksvall,1,ambiguous_low_freq,,,
Frederikshaldt,1,ambiguous_low_freq,,,
Nyvic,1,ambiguous_low_freq,,,
Shulu,1,ambiguous_low_freq,,,
New Carlisle,1,ambiguous_low_freq,,,
British Columbia,1,ambiguous_low_freq,,,
Hyvik,1,ambiguous_low_freq,,,
Orkidulsken,1,ambiguous_low_freq,,,
Aberdeen,1,ambiguous_low_freq,,,
Nytorp,1,ambiguous_low_freq,,,
Rambak,1,ambiguous_low_freq,,,
Newry,1,ambiguous_low_freq,,,
Hulst,1,ambiguous_low_freq,,,
Cumberland Basin,1,ambiguous_low_freq,,,
Matanzas,1,ambiguous_low_freq,,,
Bjorn-borg,1,ambiguous_low_freq,,,
Tredestrand,1,ambiguous_low_freq,,,
Drangsoud,1,ambiguous_low_freq,,,
Ar-ndal,1,ambiguous_low_freq,,,
Kersvik,1,ambiguous_low_freq,,,
Cunbushamn,1,ambiguous_low_freq,,,
Helmstadt,1,ambiguous_low_freq,,,
Bennetts & Co,1,ambiguous_low_freq,,,
Dort,1,ambiguous_low_freq,,,
Soladstrom,1,ambiguous_low_freq,,,
Adler,1,ambiguous_low_freq,,,
Bloody Bay,1,ambiguous_low_freq,,,
Charlotte Town P,1,ambiguous_low_freq,,,
Maccaw,1,ambiguous_low_freq,,,
Yallahs,1,ambiguous_low_freq,,,
Campechi,1,ambiguous_low_freq,,,
Klintehamn,1,ambiguous_low_freq,,,
Inverness,1,ambiguous_low_freq,,,
Hayle,1,ambiguous_low_freq,,,
Ogmore Co,1,ambiguous_low_freq,,,
Vardoe,1,ambiguous_low_freq,,,
"St. George, N.B.",1,ambiguous_low_freq,,,
Soraki,1,ambiguous_low_freq,,,
F'dericksvoern,1,ambiguous_low_freq,,,
Arno Ansag,1,ambiguous_low_freq,,,
F'stad.,1,ambiguous_low_freq,,,
"Shulee, N.S.",1,ambiguous_low_freq,,,
Away,1,ambiguous_low_freq,,,
Stutshoda,1,ambiguous_low_freq,,,
Nadoscha,1,ambiguous_low_freq,,,
Fogelvik,1,ambiguous_low_freq,,,
Huddickwall,1,ambiguous_low_freq,,,
Sach Kallan,1,ambiguous_low_freq,,,
Carany,1,ambiguous_low_freq,,,
