port_type,port_name,ship_count
origin,Aalesund,2
origin,"Sheet Harbour, N.B.",2
origin,Waija,2
origin,St. Petersburg Town,2
origin,"Parrsborough, N.S.",2
origin,Johannesvik,2
origin,Langangen,2
origin,"Oak Bay, N.B.",2
origin,Ablafors,2
origin,Colbergermunde,2
origin,Cuba,2
origin,Eloby,2
origin,Eatonville,2
origin,Stocks,2
origin,Nynamn,2
origin,Skutvik,2
origin,Tornes,2
origin,Alvik,2
origin,Hennebout,2
origin,Baddeck,2
origin,Aux,2
origin,St. Vaast,2
origin,Stenkjar,2
origin,Apple River,2
origin,Riscer,2
origin,Aux Cayes,2
origin,Syra,2
origin,Demarara,2
origin,Droback,2
origin,Beaufort,2
origin,Chittagong,2
origin,Fredikshald,2
origin,St. John. N.B.,2
origin,"St. Johns, N.B.",2
origin,Cabarete,2
origin,Marin,2
origin,Asbacks,2
origin,Harnosand,2
origin,Grand Palios,2
origin,Minititlan,2
origin,Kaurnussaari,2
origin,Framnas,2
origin,Boston and Halifax,2
origin,Landernau,2
origin,Remers,2
origin,Halleta,2
origin,Arundal,2
origin,Wifsta,2
origin,ahead,2
origin,Koga,2
origin,Wolgast,2
origin,Lund,2
origin,Cape Town,2
origin,Bolsta,2
origin,"Cedar Keys, U.S.A.",2
origin,Rennes,2
origin,Alvarado,2
origin,Duppe,2
origin,Sundarne,2
origin,"Storung, Gothland",2
origin,Higge,2
origin,Vancouver,2
origin,Throndjem,2
origin,"Liverpool, N.S.",2
origin,Horsens,2
origin,Kragerroe,2
origin,Passages,2
origin,"Portland, U.S.A.",2
origin,Henneboat,2
origin,Throndhjem,2
origin,Loient,2
origin,Por,2
origin,Yttersfors,2
origin,Eriksdal,2
origin,"Bathurst, Gulf of St. Lawrence",2
origin,Le Tremblade,2
origin,Alloa,2
origin,BayVerte,2
origin,Whycocomah,2
origin,Dramn,2
origin,Almeria,2
origin,sleepers,2
origin,St. Orleans,2
origin,"New Richmond, N.B.",2
origin,Dramman,2
origin,Archachon,2
origin,Orient,2
origin,Klintsham,2
origin,Asunder,2
origin,St. Annes des Montes,2
origin,Hofvid,2
origin,"Hillbrough, N.S.",2
origin,-Riga,2
