commodity,origin_port,count
hewn fir,Sundswall,7
planks,St. John,7
lathwood-j knights,Cronstadt,7
sleepers,Drammen,7
battens,Skien,7
planks,Sundswall,7
firewood,Tvedestrand,7
staves,Kragero,7
scantlings,Helsingfors,7
spars,Riga,7
boards,Trieste,7
cwts veneers,Dieppe,7
deals,Nordmaling,7
boards,Kemi,7
ends,Tupilco,7
currier,New York,7
spruce deal ends,Quebec City,7
pit props,Monsteras,7
shooks,Montreal,7
sapanwood,Jamaica,7
no staves,New York,7
cedar,Colon,7
deals,Shediac,7
hewn oak,Quebec City,7
staves-tate,New York,7
batten ends,St. Petersburg,7
firewood,Wifstawarf,7
dowels,New York,7
boards,Bjorneborg,7
broom handles,Gothenburg,7
staves,Soroka,7
boards,Antwerp,7
staves,F'shald,7
firewood,Onega,7
c deals,Stockholm,7
staves,Soderhamn,7
logs,Odessa,7
deals,Christiansand,7
caseboards,Christiania,7
ventilators,Rangoon,7
cs turned wood,Gothenburg,7
poles,Porsgrund,7
flooring,Gothenburg,7
lumber,New Orleans,7
battens,Husum,7
sim,Philadelphia,7
firewood,Munksund,7
pit props,Hamburg,7
staves,Sundswall,7
boards-winther,Gothenburg,7
white pine,Quebec City,7
teak planks,Bangkok,7
deals,Chatham,7
pieces,Cronstadt,7
handspikes,New York,7
deals,Tupilco,7
staves,Montreal,6
staves,Mobile,6
pit props,Arendal,6
deals,Batiscan,6
staves,Skutskar,6
lathwood,Soderhamn,6
t fustic,Tupilco,6
t fustic,Jamaica,6
oak planks,Danzig,6
turned wood-maxime,Gothenburg,6
deals,Svartvik,6
oak,Fiume,6
staves-churchill,Boston,6
tim,Danzig,6
pit props,Christiansand,6
laths-o eklund,Gothenburg,6
pit props,Risoer,6
pieces,Stockholm,6
teak,Calcutta,6
laths,Norrkoping,6
deals,Kragero,6
pieces,St. Petersburg,6
redwood deals,Archangel,6
scantlings,Arendal,6
firewood-foy,Cronstadt,6
boards,Swartwik,6
mouldings-holland,New York,6
sawn fir,Archangel,6
oak lumber,Baltimore,6
mouldings-j sandell,Gothenburg,6
deals,Furuogrund,6
deals,Bollsta,6
boards,Västervik (Westerwik),6
hhd staves,New York,6
brls skewers,New York,6
sticks,Gothenburg,6
pieces,Riga,6
t logwood,Kingston,6
bls mouldings,Gothenburg,6
walnut,Bremen,6
redwood,St. Petersburg,6
pit props,Kragero,6
boards lumber,New York,6
deals,Zanzibar,6
lathwood,Drammen,6
oak,Trieste,6
oak flitches,New York,6
deals,Kalmar,6
sapanwood,Tupilco,6
deals,Vaasa,6
oak logs,New York,6
laths,Drammen,6
mahogany,Tonala,6
fir boards,Fredrikstad,6
coils hoops,New York,6
oak wainscot logs,Trieste,6
firewood,Halmstad,6
battens,Gamleby,6
ends,Halifax,6
posts,Gothenburg,6
collies joinery,Gothenburg,6
powis,Quebec City,6
battens,Konigsberg,6
sleepers,Le Havre,6
heartwood,Riga,6
fir staves,Kotka,6
battens,Nederkalix,6
deal ends,Gothenburg,6
cs boxes,Gothenburg,6
spars,Cronstadt,6
firewood,Konigsberg,6
deal,St. Petersburg,6
firewood,Langror,6
hewn fir,Brevig,6
fir sleepers,Riga,6
logs,Trieste,6
battens,Swartwik,6
firewood,Nederkalix,6
battens,Wifstawarf,6
mahogany,Cienfuegos,6
staves,Frano,6
firewood,Risoer,6
battens-g e arnold,Gothenburg,6
deal,Cronstadt,6
cs mouldings,Gothenburg,6
firewood,Bollsta,6
planed boards,Gefle,6
planed boards,Fredrikstad,6
oars-cunningham,New York,6
handspikes,Christinestad,6
wotton,Gothenburg,6
spokes,Liepāja,6
ash lumber,New York,6
wood-maxime,Gothenburg,6
cs match splints,Quebec City,6
poles,Riga,6
