issue_date,year,month,day,status,ocr_files,ocr_pages,failed_count,failed_errors,ships_parsed,unprocessed_pdfs
1895-08-24,1895,08,24,OCR_COMPLETE,4,4,0,,197,0
1895-08-31,1895,08,31,OCR_COMPLETE,4,4,0,,214,0
1895-09-07,1895,09,07,OCR_COMPLETE,4,4,0,,181,0
1895-09-14,1895,09,14,OCR_COMPLETE,3,3,0,,127,0
1895-09-21,1895,09,21,OCR_COMPLETE,4,4,0,,147,0
1895-09-28,1895,09,28,OCR_COMPLETE,4,4,0,,171,0
1895-10-05,1895,10,05,OCR_COMPLETE,4,4,0,,124,0
1895-10-12,1895,10,12,OCR_COMPLETE,5,5,0,,163,0
1895-10-19,1895,10,19,OCR_COMPLETE,3,3,0,,161,0
1895-10-26,1895,10,26,OCR_COMPLETE,4,4,0,,92,0
1895-11-02,1895,11,02,OCR_COMPLETE,4,4,0,,146,0
1895-11-09,1895,11,09,OCR_COMPLETE,4,4,0,,202,0
1895-11-16,1895,11,16,OCR_COMPLETE,4,4,0,,0,0
1895-11-23,1895,11,23,OCR_COMPLETE,3,3,0,,32,0
1895-11-30,1895,11,30,OCR_COMPLETE,3,3,0,,201,0
1895-12-07,1895,12,07,OCR_COMPLETE,4,4,0,,187,0
1895-12-14,1895,12,14,OCR_COMPLETE,2,2,0,,64,0
1895-12-21,1895,12,21,OCR_COMPLETE,3,3,0,,97,0
1895-12-28,1895,12,28,OCR_COMPLETE,3,3,0,,78,0
1896-01-04,1896,01,04,OCR_COMPLETE,2,2,0,,0,0
1896-01-11,1896,01,11,OCR_COMPLETE,3,3,0,,113,0
1896-01-25,1896,01,25,OCR_COMPLETE,2,2,0,,11,0
1897-01-02,1897,01,02,OCR_COMPLETE,5,5,0,,92,0
1897-01-09,1897,01,09,OCR_COMPLETE,4,4,0,,99,0
1897-01-16,1897,01,16,OCR_COMPLETE,3,3,0,,0,0
1897-01-23,1897,01,23,OCR_COMPLETE,3,3,0,,35,0
1897-01-30,1897,01,30,OCR_COMPLETE,4,4,0,,81,0
1897-02-06,1897,02,06,OCR_COMPLETE,2,2,0,,62,0
1897-02-13,1897,02,13,OCR_COMPLETE,3,3,0,,88,0
1897-02-20,1897,02,20,OCR_COMPLETE,2,2,0,,97,0
1897-02-27,1897,02,27,OCR_COMPLETE,4,4,0,,62,0
1897-03-06,1897,03,06,OCR_COMPLETE,3,3,0,,19,0
1897-03-13,1897,03,13,OCR_COMPLETE,3,3,0,,61,0
1897-03-27,1897,03,27,OCR_COMPLETE,3,3,0,,47,0
1897-04-03,1897,04,03,OCR_COMPLETE,3,3,0,,80,0
1897-04-10,1897,04,10,OCR_COMPLETE,4,4,0,,57,0
1897-04-17,1897,04,17,OCR_COMPLETE,5,5,0,,65,0
1897-04-24,1897,04,24,OCR_COMPLETE,4,4,0,,68,0
1897-05-01,1897,05,01,OCR_COMPLETE,5,5,0,,102,0
1897-05-08,1897,05,08,OCR_COMPLETE,3,3,0,,80,0
1897-05-15,1897,05,15,OCR_COMPLETE,3,3,0,,30,0
1897-05-22,1897,05,22,OCR_COMPLETE,4,4,0,,16,0
1897-05-29,1897,05,29,OCR_COMPLETE,4,4,0,,18,0
1897-06-05,1897,06,05,OCR_COMPLETE,5,5,0,,64,0
1897-06-12,1897,06,12,OCR_COMPLETE,4,4,0,,80,0
1897-06-19,1897,06,19,OCR_COMPLETE,4,4,0,,80,0
1897-06-26,1897,06,26,OCR_COMPLETE,3,3,0,,31,0
1897-07-03,1897,07,03,UNPROCESSED,0,0,0,,0,2
1897-07-10,1897,07,10,UNPROCESSED,0,0,0,,0,2
1897-07-17,1897,07,17,UNPROCESSED,0,0,0,,0,2
1897-07-24,1897,07,24,UNPROCESSED,0,0,0,,0,2
1897-07-31,1897,07,31,UNPROCESSED,0,0,0,,0,2
1897-08-07,1897,08,07,UNPROCESSED,0,0,0,,0,2
1897-08-14,1897,08,14,UNPROCESSED,0,0,0,,0,2
1897-08-21,1897,08,21,UNPROCESSED,0,0,0,,0,2
1897-08-28,1897,08,28,UNPROCESSED,0,0,0,,0,2
1897-09-04,1897,09,04,UNPROCESSED,0,0,0,,0,2
1897-09-11,1897,09,11,UNPROCESSED,0,0,0,,0,2
1897-09-18,1897,09,18,UNPROCESSED,0,0,0,,0,2
1897-09-25,1897,09,25,UNPROCESSED,0,0,0,,0,2
