record_id,publication_year,publication_month,publication_day,ship_name,origin_port,destination_port,is_steamship,merchant,source_file,line_number,raw_ocr_line,arrival_year,arrival_month,arrival_day,format_type,confidence
10024,1874.0,November,28.0,Thor,Cronstadt,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p001.txt",119,"Thor @ Cronstadt,—9,701 boards, H. Atkinson.",1874.0,Nov,19,early_at,0.9
4075,1874.0,September,19.0,Trebizond,Cronstadt,LONDON,False,,"11. p.163-166 - September 19 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",68,"Trebizond @ Cronstadt,—50 pcs. boards, Kiloch & Co.",1874.0,Sept,4,early_at,0.9
10057,1874.0,November,28.0,Wye,Cronstadt,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p002.txt",6,"Wye @ Cronstadt,—6,407 deals, 676 battens, 400 pcs. lathwood, 208 boards, 1,363 deal ends, J. Reynolds & Sons.",1874.0,Nov,24,early_at,0.9
4095,1874.0,September,19.0,Belle Allis,Dantzic,LONDON,False,,"11. p.163-166 - September 19 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",100,"Belle Allis @ Dantzic,—8,106 pcs. deals &c., Order.",1874.0,Sept,4,early_at,0.9
6173,1874.0,October,17.0,A. Klockman,Danzig,LONDON,False,,"13. p. 193-195 - October 17 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",14,"A. Klockman @ Danzig,—8,711 fir deals, 317 pcs. fir timber, Order.",1874.0,Mar,9,early_at,0.9
4055,1874.0,September,19.0,Blonde,Danzig,LONDON,True,,"11. p.163-166 - September 19 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",40,"Blonde (s) @ Danzig,—120 bls. wood pulp, 3,563 deals, Order.",1874.0,Sept,4,early_at,0.9
9983,1874.0,November,28.0,Carl Linck,Danzig,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p001.txt",64,"Carl Linck @ Danzig,—1,480 deals, 7,610 staves, 375 pcs. oak, 169 deals, Order.",1874.0,Nov,16,early_at,0.9
4634,1874.0,October,3.0,Hesperus,Danzig,LONDON,True,,"12. p. 179-182 - October 3 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p002.txt",57,"Hesperus (s) @ Danzig,—46,521 pcs. oak staves, Simson & Mason.",1874.0,September,18,early_at,0.9
6234,1874.0,October,17.0,Jernoes,Danzig,LONDON,False,,"13. p. 193-195 - October 17 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",103,"Jernoes @ Danzig,—13,480 deals, Order.",1874.0,Mar,9,early_at,0.9
9943,1874.0,November,28.0,Kirnrankie,Danzig,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p001.txt",10,"Kirnrankie @ Danzig,—12,459 staves, Order.",1874.0,Nov,13,early_at,0.9
9979,1874.0,November,28.0,Locket,Danzig,LONDON,True,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p001.txt",58,"Locket (s) @ Danzig,—4,481 deals and ends, 189 logs mahogany, W. Guild & Co.",1874.0,Nov,16,early_at,0.9
4045,1874.0,September,19.0,Lorely,Danzig,LONDON,False,,"11. p.163-166 - September 19 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",25,"Lorely @ Danzig,—29,278 pcs. oak staves, Order.",1874.0,Sept,4,early_at,0.9
10038,1874.0,November,28.0,Maria,Danzig,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p001.txt",139,"Maria @ Danzig,—6,262 deals, 128 deal ends, Churchill & Sim, 1,698 staves, Order.",1874.0,Nov,20,early_at,0.9
6182,1874.0,October,17.0,Rival,Danzig,LONDON,False,,"13. p. 193-195 - October 17 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",26,"Rival @ Danzig,—1,002 pcs. timber, 271 pcs. planks, 9,719 pcs. staves, Order.",1874.0,Mar,9,early_at,0.9
4594,1874.0,October,3.0,Severus,Danzig,LONDON,False,,"12. p. 179-182 - October 3 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",58,"Severus @ Danzig,—1,351 pcs. red fir timber, 100 pcs. deals, 2,250 ppe., 1,035 pcs. brandr hdg., and 540 pcs. short hdg. staves, J. Dawson & Co.",1874.0,September,18,early_at,0.9
95305,1874.0,July,11.0,Farsund,Darien,LONDON,False,,"6. p. 82-83 - July 11 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p001.txt",108,"Farsund @ Darien,—91 pcs. deals, 285 lgs. timber, 4,236 pipe staves, Order.",1874.0,March,12,early_at,0.9
10017,1874.0,November,28.0,Victoria,Demerara,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p001.txt",109,"Victoria @ Demerara,—191 logs, 1,100 handspikes, 29 spars, 4 pcs. wood, 603 wainscot logs, C. W. Gray.",1874.0,Nov,19,early_at,0.9
10014,1874.0,November,28.0,Bayard,Dohlkarsla,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p001.txt",105,"Bayard @ Dohlkarsla,—12,388 deals, Order.",1874.0,Nov,18,early_at,0.9
10062,1874.0,November,28.0,Apollo,Dram,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p002.txt",12,"Apollo @ Dram,—2,629 battens, 1,128 battens, A. Gordon.",1874.0,Nov,25,early_at,0.9
95297,1874.0,July,11.0,Argo,Dram,LONDON,False,,"6. p. 82-83 - July 11 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p001.txt",89,"Argo @ Dram,—1,412 doz. deals and battens, Order.",1874.0,March,12,early_at,0.9
