year,origin_port,ship_count
1881.0,Pillau,1
1881.0,Port Launay,1
1881.0,Porto Plata,1
1881.0,Richibucto,1
1881.0,Richmond,1
1881.0,Rimouski,1
1881.0,River Ouelle,1
1881.0,River Quelle,1
1881.0,Rounshy,1
1881.0,Ruetouche,1
1881.0,Saltvik,1
1881.0,San Domingo,1
1881.0,Sannesund,1
1881.0,Sardarne,1
1881.0,Sault,1
1881.0,Savannah,1
1881.0,"Savannah, Georgia",1
1881.0,Shediac,1
1881.0,Simo,1
1881.0,Sprangsviken,1
1881.0,St. George's,1
1881.0,St. Jago de Cuba,1
1881.0,St. John N.B.,1
1881.0,St. John's,1
1881.0,St. Lucia,1
1881.0,"St. Mary's, Georgia",1
1881.0,"St. Mary's, N.S.",1
1881.0,Stenkjoer,1
1881.0,Stockasag,1
1881.0,Stockavik,1
1881.0,"Stockholm, &c.",1
1881.0,Stocksviken,1
1881.0,Stromnas,1
1881.0,Sydney,1
1881.0,"Tignish, P.E.I.",1
1881.0,Tonala,1
1881.0,"Tonala, &c.",1
1881.0,Torefors,1
1881.0,Tornea,1
1881.0,Treport,1
1881.0,Tresukstea,1
1881.0,Trondjem,1
1881.0,Uddevalla,1
1881.0,Victor,1
1881.0,Warberg,1
1881.0,West Indies,1
1881.0,"Weymouth, N.S.",1
1881.0,"Weymouth, U.S.",1
1881.0,Wifstawarf,1
1881.0,Wilmington,1
1881.0,Windau,1
1881.0,Wyburg,1
1881.0,Xiania,1
1882.0,New York,4
1882.0,Christiania,2
1882.0,Colombo,2
1882.0,Dantzic,2
1882.0,Laurvig,2
1882.0,Stockholm,2
1882.0,Amsterdam,1
1882.0,Archangel,1
1882.0,Borga,1
1882.0,Hambro',1
1882.0,Holmstad,1
1882.0,Lappvik,1
1882.0,Norrkoping,1
1882.0,Skutskar,1
1882.0,Sundswall,1
1883.0,New York,98
1883.0,Cronstadt,88
1883.0,Memel,71
1883.0,Riga,64
1883.0,Quebec,59
1883.0,Gothenburg,47
1883.0,Sundswall,43
1883.0,Danzig,42
1883.0,Fredrikstadt,37
1883.0,Drammen,33
1883.0,Soderhamn,33
1883.0,Christiania,32
1883.0,Montreal,29
1883.0,Pensacola,29
1883.0,Gefle,25
1883.0,Archangel,22
1883.0,Kotka,22
1883.0,Fredrikstad,19
1883.0,Laurvig,19
1883.0,Abo,18
