record_id,publication_year,publication_month,publication_day,ship_name,origin_port,destination_port,is_steamship,merchant,source_file,line_number,raw_ocr_line,arrival_year,arrival_month,arrival_day,format_type,confidence
21696,1881.0,April,30.0,Milanese,New York,LONDON,True,H. Tate & Sons,18810430p.275_p001.txt,164,"Milanese (s)-New York-7,733 coils hoops, 1,750 bls. staves, 224 bls. headings-H. Tate & Sons",1881.0,Mar,29,condensed,0.9
20993,1881.0,March,19.0,Monarch,New York,LONDON,False,,18810319p.188.txt,59,"Monarch—New York—255 crotchets, 1,772 no. 25 bdls. doors—Order",1881.0,Mar,10,condensed,0.9
27702,1881.0,September,24.0,Moray,New York,LONDON,True,,18810924p.215_p001.txt,194,"Moray (s)-New York-2,340 staves-Simson & Mason; 31 logs whitewood, 1 c. lumber-Churchill & Sim; 63 logs satinwood, 1,940 pcs. pine-Order",1881.0,Sept,5,condensed,0.9
20846,1881.0,March,5.0,Newminster,New York,LONDON,True,,18810305p.156.txt,84,"25 Newminster (s)-New York-23 logs maple, 152 lancewood spars, 676 bdls and 940 no. staves -Order",1881.0,Feb,17,condensed,0.9
21310,1881.0,April,16.0,North Durham,New York,LONDON,True,Bernard Hall,18810416p.249_p001.txt,83,North Durham (s)-New York-461 lancewood spars-Bernard Hall,1881.0,Mar,29,condensed,0.9
20116,1881.0,January,1.0,Nymphen,New York,LONDON,False,,18810101p.10.txt,71,"Nymphen—New York—80 logs black walnut, 5,500 staves, 138 logs wood—Churchill & Sim; 1,800 bdls. staves—H. Tate & Sons; 2,745 doors, 786 pkgs. mouldings, 189 bdls. lumber, 3,012 pcs. wood—Order",1881.0,Dec,23,condensed,0.9
20126,1881.0,January,1.0,Oberon,New York,LONDON,True,,18810101p.10.txt,81,"Oberon (s)—New York—978 bdls. moulding, 127 bdls. 2,540 no. doors—Holland, McConnell, & Co.; 1,200 no. 4,478 bdls. staves, 1,494 bdls. hoops, 253 bdls. headings—Order",1881.0,Dec,23,condensed,0.9
28258,1881.0,October,8.0,Oxfordshire,New York,LONDON,True,,18811008p.250_p002.txt,20,"30 Oxfordshire (s)-New York-497 boards-H. Herr-mann ; 1,171 doors-Bradley & Currier",1881.0,Oct,1,condensed,0.9
25178,1881.0,August,13.0,Pascal,New York,LONDON,True,,18810813p.114_p002.txt,6,"Pascal (s)-New York-3,600 staves-Simson & Mason ; 580 boards walnut, 129 bdls. lumber-H. Herrmann",1881.0,Mar,29,condensed,0.9
20617,1881.0,February,12.0,Pembroke Castle,New York,LONDON,False,,18810212p.105.txt,71,"Pembroke Castle-New York-3,462 staves, 23 pkgs. wood, 2,282 doors-Order",1881.0,Jan,19,condensed,0.9
20110,1881.0,January,1.0,Queen,New York,LONDON,True,vitæ—Order,18810101p.10.txt,63,"24 Queen (s)—New York—5,930 staves, 396 pcs. lignum-vitæ—Order",1881.0,Dec,23,condensed,0.9
27748,1881.0,September,24.0,Radnorshire,New York,LONDON,True,,18810924p.215_p002.txt,32,"Radnorshire (s)-New York-4,800 staves, 67 cs. spokes, 740 pcs., 213 bdls. lumber, 9 logs whitewood, 234 pcs. oak plank-Order",1881.0,Sept,5,condensed,0.9
22511,1881.0,May,28.0,Reformer,New York,LONDON,False,,18810528p.336_p001.txt,107,"20 Reformer-New York-107 logs walnut-Order ; 2,040 bdls. staves-Tate & Sons ; 1,937 bdls. staves, 456 bdls. hoops-Hay, Sutherland",1881.0,Mar,29,condensed,0.9
28295,1881.0,October,8.0,Republic,New York,LONDON,True,,18811008p.250_p002.txt,61,Republic (s)-New York-300 staves-Order,1881.0,Oct,1,condensed,0.9
21073,1881.0,March,26.0,Roraima,New York,LONDON,True,,18810326p.205.txt,72,"23 Roraima (s)-New York-300 oars-Cunningham, Shaw & Co; 10 bls. 1,227 doors-Holland, McConnell & Co.; 7 cars lumber-T. Meadows & Co.; 10,925 coils hoops-H. Tate & Sons",1881.0,Mar,11,condensed,0.9
21712,1881.0,April,30.0,Roslin Castle,New York,LONDON,True,,18810430p.275_p001.txt,180,"Roslin Castle (s)-New York-11 bls., 5,270 doors, 38 boxes, 1,892 bls. mouldings, 11 boxes balusters, 269 pcs. walnut-Holland, McConnell, & Co.; 1,416 doors, 2,212 staves-Order",1881.0,Mar,29,condensed,0.9
27698,1881.0,September,24.0,Rossmore,New York,LONDON,False,,18810924p.215_p001.txt,190,"17 Rossmore-New York-2,200 doors, 5 bxs. balusters-Holland, McComas & Co.; 31 logs whitewood, 12 logs ash-Order",1881.0,Sept,5,condensed,0.9
25550,1881.0,August,20.0,Saxon Monarch,New York,LONDON,True,Simson & Mason,18810820p.130_p002.txt,24,"Saxon Monarch (s)-New York-1,260 staves-Simson & Mason; 77 bdls. staves-H. Tate",1881.0,Aug,8,condensed,0.9
21061,1881.0,March,26.0,Scotia,New York,LONDON,False,,18810326p.205.txt,59,"Scotia-New York-150 logs walnut, 25 logs whitewood-Churchill & Sim; 86 bls., 5,200 no. doors-Holland, McConnell, & Co.; 404 logs cedar-Order",1881.0,Mar,11,condensed,0.9
21143,1881.0,April,2.0,Scotia,New York,LONDON,True,,18810402p.222.txt,53,"Mar. 19 Scotia (s)—New York—86 bls, 4,627 pkgs, 302 bls. mouldings—Bradley & Currier ; 641 doors, &c.—Holland, McConnell, & Co.",1881.0,Mar,19,standard_dash,0.9
20850,1881.0,March,5.0,Sidonian,New York,LONDON,True,,18810305p.156.txt,88,Sidonian (s)-New York-826 pcs. walnut-Order,1881.0,Feb,17,condensed,0.9
30066,1881.0,December,3.0,Surrey,New York,LONDON,True,H. Herrmann,18811203p.374_p001.txt,79,Surrey (s)-New York-133 bdls. lumber-H. Herrmann,1881.0,Nov,10,condensed,0.9
29618,1881.0,November,12.0,Surrey,New York,LONDON,True,,18811112p.324_p002.txt,84,"Surrey (s)-New York-15,000 staves-Simson & Hooper ; 1,195 bdls. staves-F. Englehardt & Co. ; 2,397 bdls. staves, 1,127 bdls. headings-H. Tate & Sons ; 700 doors-W. Angus & Co. ; 3,134 doors-Bradley & Currier ; 8 bxs. 525 bdls. lumber-H. Herrmann ; 2,421 boards",1881.0,Nov,2,condensed,0.9
25579,1881.0,August,20.0,The Queen,New York,LONDON,True,,18810820p.130_p002.txt,54,"The Queen (s)-New York-701 pcs., 169 bdls. lumber-H. Herrmann; 2,438 staves-Order",1881.0,Aug,8,condensed,0.9
21711,1881.0,April,30.0,Tobique,New York,LONDON,False,"Holland, McConnell",18810430p.275_p001.txt,179,"Tobique-New York-604 bls. mouldings, 7 bls. balusters, 1,231 doors-Holland, McConnell",1881.0,Mar,29,condensed,0.9
21895,1881.0,May,7.0,Travancore,New York,LONDON,True,Bradley & Currier,18810507p.291_p001.txt,139,Travancore (s)-New York-602 bdls. mouldings-Bradley & Currier,1881.0,Mar,29,condensed,0.9
20352,1881.0,January,22.0,Utopia,New York,LONDON,True,,18810122p.59_p001.txt,121,"Utopia (s)-New York-172 bls. lumber, 131 logs walnut, 2 logs cherry-Order",1881.0,Dec,22,condensed,0.9
23018,1881.0,June,11.0,Utopia,New York,LONDON,True,,18810611p.369_p001.txt,169,"4 Utopia (s)-New York-53 flitches, 16 logs walnut -Order",1881.0,Mar,29,condensed,0.9
20925,1881.0,March,12.0,Utopia,New York,LONDON,True,,18810312p.175.txt,85,"4 Utopia (s)—New York—118 pcs. oak flitches, 341 walnut planks—Order",1881.0,Mar,3,condensed,0.9
30101,1881.0,December,3.0,Utopia,New York,LONDON,True,,18811203p.374_p001.txt,115,"30 Utopia (s)-New York-20 pcs., 6 pkgs. walnut-W. Walker; 1,031 logs walnut-Churchill & Sim; 2 t. rosewood-Simson & Mason",1881.0,Nov,10,condensed,0.9
20620,1881.0,February,12.0,Victoria,New York,LONDON,True,,18810212p.105.txt,74,Victoria (s)-New York-68 bdls. lumber-Order,1881.0,Jan,19,condensed,0.9
22320,1881.0,May,21.0,Victoria,New York,LONDON,True,,18810521p.322_p001.txt,131,Victoria (s)-New York-14 cars lumber-Order,1881.0,Mar,29,condensed,0.9
28848,1881.0,October,29.0,Victoria,New York,LONDON,True,Churchill & Sim,18811029p.295_p002.txt,69,"Victoria (s)-New York-50 logs black walnut, 20 billets oak wainscot-Churchill & Sim",1881.0,Oct,3,condensed,0.9
